Name,Slug,Description,Address,City,State,Zip,Phone,Website URL,Google Maps URL,Photo URL,Hours,Services,Specialties,Type,Price Range,Rating,Review Count,Status,Featured,Date Added,Latitude,Longitude
Blackfoot Pet Grooming,blackfoot-pet-grooming-blackfoot-id,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",371 ID-39 #10,Blackfoot,Idaho,83221,(208) 785-6789,http://blackfootpetgrooming.com/,"https://www.google.com/maps/place/Blackfoot+Pet+Grooming/@43.1985751,-112.3713415,14z/data=!4m8!1m2!2m1!1sBlackfoot+Pet+Grooming!3m4!1s0x53551010b2b5156b:0xbfebcf1d1596f649!8m2!3d43.1985751!4d-112.3713415",https://lh3.googleusercontent.com/gps-cs-s/AHVAweomOYW-0teRXCBrNQg2rNOsKr-Te3kYqlHZKvLlqyUNO061GHEFwaq2vqhEKZr329eVFJiaqMjJ5KDxob4PQ9Ec2bqFIcMf1G0P7iPYhsTqSZUpnlW9Yd6ToUHYQJXOKbf-5u6g=w800-h500-k-no,"Monday: 9AM–4:30PM, Tuesday: 9AM–4:30PM, Wednesday: 9AM–4:30PM, Thursday: 9AM–4:30PM, Friday: 9AM–4:30PM, Saturday: Closed, Sunday: Closed",,,Full-Service Salon,,4.2,58.0,Active,False,2026-04-01,43.1985751,-112.3713415
Wiggles N’ Waggles Pet Resort & sPAW,wiggles-n-waggles-pet-resort-spaw-blackfoot-id,"{""From the business"": {""Identifies as veteran-owned"": true, ""Identifies as women-owned"": true}, ""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Other"": {""Identifies as veteran-owned"": true, ""Identifies as women-owned"": true}}",1311 NW Main St,Blackfoot,Idaho,83221,(208) 357-0889,https://wigglesnwaggles.com/,"https://www.google.com/maps/place/Wiggles+N%E2%80%99+Waggles+Pet+Resort+%26+sPAW/@43.198706,-112.33453569999999,14z/data=!4m8!1m2!2m1!1sWiggles+N%E2%80%99+Waggles+Pet+Resort+%26+sPAW!3m4!1s0x53551abd842669b9:0x3fd07212e04f5ddb!8m2!3d43.198706!4d-112.33453569999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepXkyzEb4OGsXLHhvBLVSl90kUcU0dvhWd_xoUJ0LqebmQfzMWQl2eIzhhg19PFeOIqPPVHUIkMPN_1cKigGzvN-M1G6Ey5DwPCQTD1JdK96_nvBzUJJ7HP0ZvfzaqlR6mF1F9q=w800-h500-k-no,"Monday: 7AM–6PM, Tuesday: 7AM–6PM, Wednesday: 7AM–6PM, Thursday: 7AM–6PM, Friday: 7AM–6PM, Saturday: 7AM–6PM, Sunday: 4–5PM",,,Full-Service Salon,,4.8,317.0,Active,False,2026-04-01,43.198706,-112.3345357
Paws and Suds In The Heights,paws-and-suds-in-the-heights-north-bergen-nj,"{""Payments"": {""NFC mobile payments"": true}}",4406 Bergen Turnpike,North Bergen,New Jersey,7047,(551) 375-9517,https://pawsandsuds.com/,"https://www.google.com/maps/place/Paws+and+Suds+In+The+Heights/@40.7834068,-74.0330262,14z/data=!4m8!1m2!2m1!1sPaws+and+Suds+In+The+Heights!3m4!1s0x89c2572205baebeb:0x788616cf3c4eb6af!8m2!3d40.7834068!4d-74.0330262",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoCoYCsKpPhNsqzc8V5-HIjioTdajC5pSTAFAWomQhQvYk-vkSqYq2pdZ9iIBaOmkeCMRvlOAJuSsA_8xBurNARySXPBj3vGvzRvijiZBKiEC7or8VIA9xdIUN4IEM7xIgsjerqDQ=w800-h500-k-no,"Monday: 9AM–5PM, Tuesday: 9AM–5PM, Wednesday: 9AM–5PM, Thursday: 10AM–5PM, Friday: 9AM–5PM, Saturday: 9AM–5PM, Sunday: Closed",,,Full-Service Salon,,4.8,50.0,Active,False,2026-04-01,40.7834068,-74.0330262
Paws and Suds Pet Grooming,paws-and-suds-pet-grooming-union-city-nj,"{""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}}",500 Central Ave Unit 108,Union City,New Jersey,7087,(201) 360-0161,http://www.pawsandsuds.com/,"https://www.google.com/maps/place/Paws+and+Suds+Pet+Grooming/@40.756126099999996,-74.04275299999999,14z/data=!4m8!1m2!2m1!1sPaws+and+Suds+Pet+Grooming!3m4!1s0x89c2573dc6bcc2a3:0xac1db2652f54c92f!8m2!3d40.756126099999996!4d-74.04275299999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqxjwOJcQuo_L58y-4fyB5yZrSL-pcQYS_fAHG9uP3m9sH5mgc11v6XtvRS5uEg_gW3gZOY6pSwkKqjKVjt_mBg-bKak-pK95XixbfEsZBnBKXV_kY-Av2rKJPtli3ine2nEy64GQ=w800-h500-k-no,"Monday: Closed, Tuesday: 10:30AM–6PM, Wednesday: 10:30AM–6PM, Thursday: 10:30AM–6PM, Friday: 10:30AM–6PM, Saturday: 10:30AM–6PM, Sunday: Closed",,,Full-Service Salon,,4.7,125.0,Active,False,2026-04-01,40.7561261,-74.04275299999999
Furrs N' Purrs,furrs-n-purrs-clifton-nj,"{""Service options"": {""Onsite services"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",159 Valley Rd,Clifton,New Jersey,7013,(973) 279-8787,https://instagram.com/furrsnpurrsgrooming%3Figshid%3DNGVhN2U2NjQ0Yg%3D%3D,"https://www.google.com/maps/place/Furrs+N%27+Purrs/@40.8929019,-74.17469779999999,14z/data=!4m8!1m2!2m1!1sFurrs+N%27+Purrs!3m4!1s0x89c2fe7cf73581df:0x1be7d9e48a72ebf!8m2!3d40.8929019!4d-74.17469779999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAweogZkN1p4t1rpee_mQvWSoFd7WalpGpCvVzR-LutprEn_yX39_aFRRq0qCv9CMY3jStFgD7jgWGYzUImACZVWh2Yo0VlD602ranikLUlz2Abss_IAo-UNVlWX5qgRAIFoRkZn8=w800-h500-k-no,"Monday: 9AM–4PM, Tuesday: 9AM–4PM, Wednesday: 9AM–4PM, Thursday: Closed, Friday: 9AM–4PM, Saturday: 9AM–4PM, Sunday: 9AM–4PM",,,Full-Service Salon,,4.7,407.0,Active,False,2026-04-01,40.8929019,-74.17469779999999
Groomer at Home,groomer-at-home-north-bergen-nj,"{""From the business"": {""Identifies as women-owned"": true}, ""Service options"": {""Language assistance"": ""English, Spanish""}, ""Other"": {""Identifies as women-owned"": true}}",1122 53rd St,North Bergen,New Jersey,7047,(347) 938-0857,http://www.groomerathome.com/,"https://www.google.com/maps/place/Groomer+at+Home/@40.7859311,-74.0241223,14z/data=!4m8!1m2!2m1!1sGroomer+at+Home!3m4!1s0x89c259e6288d06f1:0x1d96a485ae5645f6!8m2!3d40.7859311!4d-74.0241223",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepa-00E7eNfNbkeA28hSofDTsC198g4-2z0RJaxQBaYT1dxg_TIaxS5MaoDWyM58sULQTjacUoB2EZRmLeFI05l7tkSdDYWPUeLHbCKAn-PSRr7YMd_c5jTUmTJ4mGbpM6V4vim=w800-h500-k-no,"Monday: 7AM–3PM, Tuesday: 7AM–3PM, Wednesday: 7AM–3PM, Thursday: 7AM–3PM, Friday: 7AM–2PM, Saturday: Closed, Sunday: Closed",Cat Grooming,Cat Grooming,Full-Service Salon,,4.9,80.0,Active,False,2026-04-01,40.7859311,-74.0241223
Bows N Paws Pet Studio,bows-n-paws-pet-studio-clifton-nj,"{""Service options"": {""Onsite services"": true, ""Language assistance"": ""Korean""}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",270 Colfax Ave,Clifton,New Jersey,7013,(973) 246-4838,http://www.bowsnpawsnj.com/,"https://www.google.com/maps/place/Bows+N+Paws+Pet+Studio/@40.870263,-74.1608377,14z/data=!4m8!1m2!2m1!1sBows+N+Paws+Pet+Studio!3m4!1s0x89c2ff56566adaf7:0x49b813c15445cf80!8m2!3d40.870263!4d-74.1608377",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepdcjL_kBvH80VEW1nDgSzWFJOQoFLyuZPzurEGbahJqvBNs9hYjnxC9vNOyPk4pSNHIystIxiQ7AaK2AlAYyrK17li20J45LqR_qONPpoY4ShHEDYxdHaVXN6S3PUy5gkpxCZpzrr8VmBb=w800-h500-k-no,"Monday: Closed, Tuesday: 8:30AM–5PM, Wednesday: 8:30AM–5PM, Thursday: 8:30AM–5PM, Friday: 8:30AM–5PM, Saturday: 8:30AM–5PM, Sunday: Closed",,,Full-Service Salon,,4.6,44.0,Active,False,2026-04-01,40.870263,-74.1608377
Pawtanicals,pawtanicals-north-bergen-nj,"{""From the business"": {""Identifies as Latino-owned"": true, ""Identifies as women-owned"": true}, ""Service options"": {""Language assistance"": ""Spanish""}, ""Accessibility"": {""Wheelchair accessible entrance"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Paid street parking"": true}, ""Other"": {""Identifies as women-owned"": true, ""Identifies as Latino-owned"": true}}",7622 Broadway,North Bergen,New Jersey,7047,(201) 520-3036,http://pawtanicals.com/,"https://www.google.com/maps/place/Pawtanicals/@40.797444,-74.00207139999999,14z/data=!4m8!1m2!2m1!1sPawtanicals!3m4!1s0x89c2f7c69abd5b05:0x8128e9bcb7107c02!8m2!3d40.797444!4d-74.00207139999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAweotSdAXTMPpJPPLaVGgfu2NPo0t4DLPDc_6pE1ZNaRavFdw-wDqDoIk704t5XXsVY6gN0PmJzJ9ALbXbmTjMEmFwxCOcuLdmZ5XJvoEv2rtxWyqW9TskrKffkrhstpMn19Qh5lupQ=w800-h500-k-no,"Monday: Closed, Tuesday: Closed, Wednesday: 9AM–5PM, Thursday: 9AM–5PM, Friday: 9AM–5PM, Saturday: 9AM–3:30PM, Sunday: 9AM–3PM",,,Full-Service Salon,,4.9,114.0,Active,False,2026-04-01,40.797444,-74.00207139999999
Clips N' Snips,clips-n-snips-clifton-nj,"{""Service options"": {""Onsite services"": true}, ""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}}",51 Valley Rd,Clifton,New Jersey,7013,(862) 239-1777,http://clipsnsnips.com/,"https://www.google.com/maps/place/Clips+N%27+Snips/@40.8961131,-74.1731365,14z/data=!4m8!1m2!2m1!1sClips+N%27+Snips!3m4!1s0x89c2fe83ae36d3e3:0x89326a09032d52a1!8m2!3d40.8961131!4d-74.1731365",https://lh3.googleusercontent.com/gps-cs-s/AHVAwepaC4KTWcWiT5K5DOsupAvm3l_-hGvfBMzsxJEfPGDfcuQP_Ftm2imCfct2gMqfXNG1K7VpWwM-I8sqImlB2egR9o0qVQyIkSbeTKtG7IbdZI7WdESC1Pfh_oBMMP_SPnPgytnE=w800-h500-k-no,"Monday: 9AM–6PM, Tuesday: 9AM–6PM, Wednesday: Closed, Thursday: 9AM–6PM, Friday: 9AM–6PM, Saturday: 8AM–5PM, Sunday: Closed",,,Pet Store with Grooming,,4.5,187.0,Active,False,2026-04-01,40.8961131,-74.1731365
Downtown Woody's Grooming,downtown-woody-s-grooming-jersey-city-nj,"{""From the business"": {""Identifies as Latino-owned"": true, ""Identifies as women-owned"": true}, ""Service options"": {""Language assistance"": ""Russian, Spanish""}, ""Accessibility"": {""Wheelchair accessible entrance"": false, ""Wheelchair accessible parking lot"": false}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Free street parking"": true}, ""Other"": {""Identifies as women-owned"": true, ""Identifies as Latino-owned"": true}}",348 Pavonia Ave,Jersey City,New Jersey,7302,(201) 533-9900,http://downtownwoodys.com/,"https://www.google.com/maps/place/Downtown+Woody%27s+Grooming/@40.728192,-74.0497714,14z/data=!4m8!1m2!2m1!1sDowntown+Woody%27s+Grooming!3m4!1s0x89c250b506f9d7df:0x11cce6ca080a2254!8m2!3d40.728192!4d-74.0497714",https://lh3.googleusercontent.com/gps-cs-s/AHVAwep-MqsazY8DKdpoViqJ0j5H7jbm6Azlzm68CVkP8D7TGQ48ul9EaPlkjen0Denl93ne6UUkN39NAcdK5awxN1wc_uIfh25nTUBE_NQq-yG7BVA2ddEdMz9lZAcl-nkVrItlSzz8=w800-h500-k-no,"Monday: Closed, Tuesday: Closed, Wednesday: 8AM–4PM, Thursday: 8AM–4PM, Friday: 8AM–4PM, Saturday: 8AM–4PM, Sunday: 8AM–4PM",,,Full-Service Salon,,4.7,205.0,Active,False,2026-04-01,40.728192,-74.0497714
