Name,City,State,classification,neg_score,pos_score,flags
Laketown Animal Hospital,Springfield,Illinois,LIKELY NOT GROOMER,7.0,4,desc:veterinary; NAME:animal hospital; desc:dental
VCA Dover Animal Hospital,Dover,Delaware,LIKELY NOT GROOMER,7.0,0,desc:veterinarian; desc:veterinary; NAME:animal hospital
Kennel Care Veterinary Hospital,Chandler,Arizona,LIKELY NOT GROOMER,7.0,0,NAME:veterinary; NAME_MED:kennel
VCA All About Pets Animal Hospital,Union City,California,LIKELY NOT GROOMER,7.0,0,desc:veterinarian; desc:veterinary; NAME:animal hospital
Mile Creek Animal Hospital,Minster,Ohio,LIKELY NOT GROOMER,6.0,0,desc:veterinary; NAME:animal hospital
easyvet Veterinarian McKinney,McKinney,Texas,LIKELY NOT GROOMER,6.0,0,NAME:veterinarian; desc:veterinary
Southeast Animal Hospital,San Antonio,Texas,LIKELY NOT GROOMER,5.5,0,NAME:animal hospital; desc_med:reptile
Veterinary Healthcare Associates,Winter Haven,Florida,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Northern Pike Veterinary Hospital,Monroeville,Pennsylvania,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Mid-Atlantic Veterinary Hospital,Hagerstown,Maryland,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
CityVet | Lake Nona Veterinary & Urgent Care,Orlando,Florida,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Peconic Bay Animal Hospital,Riverhead,New York,LIKELY NOT GROOMER,5.0,6,NAME:animal hospital
Boulevard Veterinary Care,Mt Pocono,Pennsylvania,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Gaithersburg Animal Hospital,Gaithersburg,Maryland,LIKELY NOT GROOMER,5.0,0,NAME:animal hospital
Indian River Veterinary Clinic,Indian River,Michigan,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Awesome Care Veterinary and Laser Center,Oklahoma City,Oklahoma,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Grant Square Animal Hospital,Oklahoma City,Oklahoma,LIKELY NOT GROOMER,5.0,4,NAME:animal hospital
Highland Animal Hospital,Augusta,Georgia,LIKELY NOT GROOMER,5.0,0,NAME:animal hospital
Bridgewater Veterinary Hospital,Bridgewater,New Jersey,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
VCA Coral Animal Hospital,Fort Myers,Florida,LIKELY NOT GROOMER,5.0,0,NAME:animal hospital
Fox Valley Veterinary Hospital,Ottawa,Illinois,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Novak Rinker Veterinary Clinic,Ottawa,Illinois,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Boca Park Animal Hospital,Las Vegas,Nevada,LIKELY NOT GROOMER,5.0,0,NAME:animal hospital
Hickory Veterinary Hospital,Forest Hill,Maryland,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Spot On Veterinary Hospital & Hotel - Stamford,Stamford,Connecticut,LIKELY NOT GROOMER,5.0,0,NAME:veterinary
Orchid Springs Animal Hospital,Winter Haven,Florida,LIKELY NOT GROOMER,5.0,0,NAME:animal hospital
Kindness Animal Hospital - West,Cape Coral,Florida,LIKELY NOT GROOMER,5.0,0,NAME:animal hospital
