Name,Slug,Description,Address,City,State,Zip,Phone,Website URL,Google Maps URL,Photo URL,Hours,Services,Specialties,Type,Price Range,Rating,Review Count,Status,Featured,Date Added,Latitude,Longitude
Paws and Suds Pet Grooming,paws-and-suds-pet-grooming-union-city-nj,"{""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}}",500 Central Ave Unit 108,Union City,New Jersey,7087,(201) 360-0161,http://www.pawsandsuds.com/,"https://www.google.com/maps/place/Paws+and+Suds+Pet+Grooming/@40.756126099999996,-74.04275299999999,14z/data=!4m8!1m2!2m1!1sPaws+and+Suds+Pet+Grooming!3m4!1s0x89c2573dc6bcc2a3:0xac1db2652f54c92f!8m2!3d40.756126099999996!4d-74.04275299999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAweqQ-oAfkjdspg_mNVehnGXcOlH1MVJH-URC5wrZOzexcLZB7kXfdgcX1FbHHXmjsKnNZOh6xgELTjA0A3asvbzmOI4wHgfMoto8Knnzs8M5-RVxazpMSMYw5bcjqLpFI5viY9l_vg=w800-h500-k-no,"Sunday: Closed, Monday: Closed, Tuesday: 10:30AM–6PM, Wednesday: 10:30AM–6PM, Thursday: 10:30AM–6PM, Friday: 10:30AM–6PM, Saturday: 10:30AM–6PM",,,Full-Service Salon,,4.7,125.0,Active,False,2026-04-01,40.7561261,-74.04275299999999
Paw-Fect Cuts LLC,paw-fect-cuts-llc-los-alamos-nm,,208 Dp Rd B,Los Alamos,New Mexico,87544,(505) 470-3490,https://www.pawfectcuts.com/,"https://www.google.com/maps/place/Paw-Fect+Cuts+LLC/@35.8794898,-106.28704069999999,14z/data=!4m8!1m2!2m1!1sPaw-Fect+Cuts+LLC!3m4!1s0x8718123eb55d3b7d:0x485b6fdc7afa088a!8m2!3d35.8794898!4d-106.28704069999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerGsBeRjlSp_0_tY1iZid3WhXswxYg-6hgANKK20SiZJVCitebYf3860BkSEKLibURCIQyomjPRbjl2jh2h1OPv2c7XcrMFVHRNIfE8P-x7oNSQNnPlrjdCe0fMIjUO2jsKanI9IQ=w800-h500-k-no,"Sunday: Closed, Monday: Closed, Tuesday: 8AM–6PM, Wednesday: 8AM–6PM, Thursday: 8AM–6PM, Friday: 8AM–6PM, Saturday: 9AM–5PM",,,Full-Service Salon,,4.7,55.0,Active,False,2026-04-01,35.8794898,-106.2870407
Paws and Suds In The Heights,paws-and-suds-in-the-heights-north-bergen-nj,"{""Payments"": {""NFC mobile payments"": true}}",4406 Bergen Turnpike,North Bergen,New Jersey,7047,(551) 375-9517,https://pawsandsuds.com/,"https://www.google.com/maps/place/Paws+and+Suds+In+The+Heights/@40.7834068,-74.0330262,14z/data=!4m8!1m2!2m1!1sPaws+and+Suds+In+The+Heights!3m4!1s0x89c2572205baebeb:0x788616cf3c4eb6af!8m2!3d40.7834068!4d-74.0330262",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoCoYCsKpPhNsqzc8V5-HIjioTdajC5pSTAFAWomQhQvYk-vkSqYq2pdZ9iIBaOmkeCMRvlOAJuSsA_8xBurNARySXPBj3vGvzRvijiZBKiEC7or8VIA9xdIUN4IEM7xIgsjerqDQ=w800-h500-k-no,"Sunday: Closed, Monday: 9AM–5PM, Tuesday: 9AM–5PM, Wednesday: 9AM–5PM, Thursday: 10AM–5PM, Friday: 9AM–5PM, Saturday: 9AM–5PM",,,Full-Service Salon,,4.8,50.0,Active,False,2026-04-01,40.7834068,-74.0330262
Prism Pups Grooming Salon LLC,prism-pups-grooming-salon-llc-los-alamos-nm,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true}}",927 Central Ave,Los Alamos,New Mexico,87544,(505) 500-9731,https://www.facebook.com/profile.php%3Fid%3D61558765321687,"https://www.google.com/maps/place/Prism+Pups+Grooming+Salon+LLC/@35.880528,-106.2951423,14z/data=!4m8!1m2!2m1!1sPrism+Pups+Grooming+Salon+LLC!3m4!1s0x8718138bb8e399ff:0x63a7e381c21e4a42!8m2!3d35.880528!4d-106.2951423",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoryvWMjvDQ2-yPaMuNTAgX9YJMQzsGUh6CFG7R8I1X8XlNQt8jjgeLylP5sdauWtf9n1qHW2fDeFMvT507-bhyqOj9ThqchipGFWTDKXC7zIktMvjHdovp5CXVuCaSOtnHbQr6DA=w800-h500-k-no,,,,Full-Service Salon,,5.0,3.0,Active,False,2026-04-01,35.880528,-106.2951423
Pawtanicals,pawtanicals-north-bergen-nj,"{""From the business"": {""Identifies as Latino-owned"": true, ""Identifies as women-owned"": true}, ""Service options"": {""Language assistance"": ""Spanish""}, ""Accessibility"": {""Wheelchair accessible entrance"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true, ""NFC mobile payments"": true}, ""Parking"": {""Paid street parking"": true}, ""Other"": {""Identifies as women-owned"": true, ""Identifies as Latino-owned"": true}}",7622 Broadway,North Bergen,New Jersey,7047,(201) 520-3036,http://pawtanicals.com/,"https://www.google.com/maps/place/Pawtanicals/@40.797444,-74.00207139999999,14z/data=!4m8!1m2!2m1!1sPawtanicals!3m4!1s0x89c2f7c69abd5b05:0x8128e9bcb7107c02!8m2!3d40.797444!4d-74.00207139999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAweolcnX38WHUykODp9S6Up6SWWkcxud2HeXFc28LdqFLPwumY4ynvECQwBfshh48NsJtZvV2FKJFhjkCqWp-7LTxSEn_TPURoeWUGo0tqhbkpYrmRGBlIom3iZBpIBYOKfeJo0E=w800-h500-k-no,"Sunday: Closed, Monday: Closed, Tuesday: Closed, Wednesday: 9AM–5PM, Thursday: 9AM–5PM, Friday: 9AM–5PM, Saturday: Closed",,,Full-Service Salon,,4.9,114.0,Active,False,2026-04-01,40.797444,-74.00207139999999
Woof Gang Bakery & Grooming Edgewater,woof-gang-bakery-grooming-edgewater-edgewater-nj,Woof Gang Grooming is the ultimate retreat for the pampered pet. Make an appointment for your furry family member today!,30 The Promenade,Edgewater,New Jersey,7020,(201) 877-4880,http://woofgangbakery.com/pages/locations/edgewater,"https://www.google.com/maps/place/Woof+Gang+Bakery+%26+Grooming+Edgewater/@40.8069717,-73.9896488,14z/data=!4m8!1m2!2m1!1sWoof+Gang+Bakery+%26+Grooming+Edgewater!3m4!1s0x89c2f714f13f0dbd:0xa967608ccb70d27a!8m2!3d40.8069717!4d-73.9896488",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerrpRGmp15QlEIYz1qFAuhxImOWNPwu0QcAkuN_DEQOPdBWXYwFNYrOSiXOdsxu2FiIPr2QRyu8evvovMTh2Bjzf0usD3fZl7GOpkc0KJHsQ_HADUJw9YsSDp0t3hM7-cxv3OnQ8RG3t1mL=w800-h500-k-no,"Sunday: Closed, Monday: 9AM–6PM, Tuesday: 9AM–6PM, Wednesday: 9AM–6PM, Thursday: 9AM–6PM, Friday: 9AM–6PM, Saturday: 9AM–6PM",,,Pet Store with Grooming,,4.8,107.0,Active,False,2026-04-01,40.8069717,-73.9896488
Ruff Cuts Pet Salon,ruff-cuts-pet-salon-espanola-nm,"{""Accessibility"": {""Wheelchair accessible entrance"": true, ""Wheelchair accessible parking lot"": true}, ""Payments"": {""Debit cards"": true, ""NFC mobile payments"": true, ""Credit cards"": true}}",19A Co Rd 122,Española,New Mexico,87532,(505) 927-5234,https://localusa.net/explore/ruff-cuts-pet-salon/,"https://www.google.com/maps/place/Ruff+Cuts+Pet+Salon/@35.9370496,-106.0794978,14z/data=!4m8!1m2!2m1!1sRuff+Cuts+Pet+Salon!3m4!1s0x87183ea518fadbf3:0x5b795e19a512ea94!8m2!3d35.9370496!4d-106.0794978",https://lh3.googleusercontent.com/gps-cs-s/AHVAwer4Ks3EFiClEjev07879wBt1NKCwTtbaJ9rMcqr7dF-ktrIIH15pcoFQBnuAVIbovdrgHHi-goYaWzEAPzNv32asJ-APyjZUOUCZi5nhX3whfzyIyZaY3D_wXOjdYzsjg-S7EY=w800-h500-k-no,"Sunday: Closed, Monday: 7AM–5PM, Tuesday: 7AM–5PM, Wednesday: 7AM–5PM, Thursday: 7AM–5PM, Friday: 7AM–5PM, Saturday: 7AM–5PM",,,Full-Service Salon,,4.6,91.0,Active,False,2026-04-01,35.9370496,-106.0794978
ALL 4 pet Ruidoso nm 88345,all-4-pet-ruidoso-nm-88345-ruidoso-nm,"{""Service options"": {""Onsite services"": true, ""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible restroom"": false, ""Wheelchair accessible seating"": false}, ""Amenities"": {""Gender-neutral restroom"": true}, ""Crowd"": {""LGBTQ+ friendly"": true, ""Transgender safespace"": true}, ""Other"": {""LGBTQ+ friendly"": true}}",1301 Mechem Dr,Ruidoso,New Mexico,88345,(575) 630-0034,http://www.kelleycritters.com/,"https://www.google.com/maps/place/ALL+4+pet+Ruidoso+nm+88345/@33.3739205,-105.67175739999999,14z/data=!4m8!1m2!2m1!1sALL+4+pet+Ruidoso+nm+88345!3m4!1s0x86e1d1cbea058eef:0xaf20dccbc1ea860a!8m2!3d33.3739205!4d-105.67175739999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAwerex6DmQY5PdJrKGTvVu36kJL4aSkYK6ZjMqTd5AMO1wnBqUavEdJw9TdTfhSqxR1EPjXS85uNe1JgXP3I_br_5jddXvWsqzOPOEJzgP7_guXlyYR_Qm9plSq1ImZA4y65mLOO3oA=w800-h500-k-no,"Sunday: Closed, Monday: Closed, Tuesday: 9AM–5PM, Wednesday: 9AM–5PM, Thursday: Closed, Friday: Closed, Saturday: Closed",,,Full-Service Salon,,4.9,126.0,Active,False,2026-04-01,33.3739205,-105.6717574
The Soggy Dog,the-soggy-dog-ruidoso-nm,"{""Accessibility"": {""Wheelchair accessible parking lot"": true}}",102 Whitlock St,Ruidoso,New Mexico,88345,(575) 315-6767,https://thesoggydogruidoso.com/,"https://www.google.com/maps/place/The+Soggy+Dog/@33.328217099999996,-105.66139179999999,14z/data=!4m8!1m2!2m1!1sThe+Soggy+Dog!3m4!1s0x86e1cf71f0458811:0x3a1d0e3a48bdb59c!8m2!3d33.328217099999996!4d-105.66139179999999",https://lh3.googleusercontent.com/gps-cs-s/AHVAwern8da41QJ_taWK95dIVeYTbEcY8GfkxDbhO7Sz8BfnBKEOcN7Nk-fOhtzLMHmr_XALNSMNlJeLrxEk_ivZdmxNyluGlJM435tG7fkvnfG0IgiS3ErzH2Vqd9p205p-w2vLkMA_XxdE-U_B=w800-h500-k-no,"Sunday: Closed, Monday: 9AM–5PM, Tuesday: 9AM–5PM, Wednesday: 9AM–5PM, Thursday: 9AM–5PM, Friday: 9AM–5PM, Saturday: 9AM–5PM",,,Full-Service Salon,,5.0,26.0,Active,False,2026-04-01,33.3282171,-105.6613918
Doso Doggies Grooming,doso-doggies-grooming-ruidoso-nm,"{""Service options"": {""Language assistance"": ""English""}, ""Accessibility"": {""Wheelchair accessible parking lot"": true}, ""Payments"": {""Credit cards"": true, ""Debit cards"": true}, ""Parking"": {""On-site parking"": true}}",1009 Mechem Dr suite 3,Ruidoso,New Mexico,88345,,http://dosodoggiesgrooming.com/,"https://www.google.com/maps/place/Doso+Doggies+Grooming/@33.352903999999995,-105.6732304,14z/data=!4m8!1m2!2m1!1sDoso+Doggies+Grooming!3m4!1s0x86e1d1c59b29647d:0x3e179b94cbb6fef3!8m2!3d33.352903999999995!4d-105.6732304",https://lh3.googleusercontent.com/gps-cs-s/AHVAweoDaIG6_nqsyfwP9NKld57btstkw1s0_wg9DLVU-07yRAQ-x6gQqgT75Lf4g0uWKeKAIZYuBQO1ZcHwGKaRZYq1N_r4MxhD1whjACYKh7nqBGlwsAybS8INUV1eUFRCpBQUWerGr8ZrIHkN=w800-h500-k-no,"Sunday: Closed, Monday: Closed, Tuesday: 9AM–3PM, Wednesday: 9AM–3PM, Thursday: 9AM–3PM, Friday: 9AM–3PM, Saturday: 9AM–3PM",,,Full-Service Salon,,5.0,15.0,Active,False,2026-04-01,33.352904,-105.6732304
